date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:41	327530/327530	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20May%202021%2011:07:40%20GMT	https://jangra14111999.wixsite.com/my-site-1	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/my-site-1.html	(from )
16:37:43	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://jangra14111999.wixsite.com/robots.txt		(from )
16:37:44	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:44	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/WEBSITE/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:45	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2006:27:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/WEBSITE/polyfill.io/v3/polyfill.mind82c.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:45	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20May%202021%2011:07:45%20GMT	https://jangra14111999.wixsite.com/my-site-1/decodeURIComponent(e	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/my-site-1/decodeURIComponent(e	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:46	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/WEBSITE/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20May%202021%2011:07:47%20GMT	https://jangra14111999.wixsite.com/my-site-1/https:	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/my-site-1/https_	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20May%202021%2011:07:47%20GMT	https://jangra14111999.wixsite.com/my-site-1/robots.txt	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/my-site-1/robots.txt	(from https://jangra14111999.wixsite.com/my-site-1)
16:37:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20May%202021%2011:07:48%20GMT	https://jangra14111999.wixsite.com/my-site-1/sitemap.xml	C:/My%20Web%20Sites/WEBSITE/jangra14111999.wixsite.com/my-site-1/sitemap.xml	(from https://jangra14111999.wixsite.com/my-site-1)
